CourseID,CourseName,CourseCategory,CourseLevel,TeacherID,TeacherName,CourseRating,Enrollments,Revenue
CR00001,Python Basics,Programming,Beginner,TC00003,Amber Torres,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00005,David Williams,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00009,Alexander Tucker,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00010,Frances Sanchez,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00015,John Armstrong,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00016,David Carlson,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00017,Brian Perez,4.74,3,1416.84
CR00001,Python Basics,Programming,Beginner,TC00019,Tommy Haynes,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00022,John Holmes,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00023,Robert Mack,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00026,Patrick Wilson,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00027,Laurie Michael,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00028,Timothy Bailey,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00030,David Aguirre,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00031,Brenda Mercer,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00035,Sharon Jackson,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00036,Brenda Mclean,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00038,Jeffrey Clark,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00039,Elizabeth Bishop,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00040,Kimberly Miller,4.74,46,21724.879999999997
CR00001,Python Basics,Programming,Beginner,TC00042,Yolanda Levine,4.74,63,29753.64
CR00001,Python Basics,Programming,Beginner,TC00045,Emily Gutierrez,4.74,2,944.56
CR00001,Python Basics,Programming,Beginner,TC00047,Brad Griffin,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00050,Alexander Williams,4.74,1,472.28
CR00001,Python Basics,Programming,Beginner,TC00056,Alexis Everett,4.74,22,10390.16
CR00002,Java Programming,Programming,Intermediate,TC00015,John Armstrong,2.43,1,0.0
CR00002,Java Programming,Programming,Intermediate,TC00016,David Carlson,2.43,1,0.0
CR00002,Java Programming,Programming,Intermediate,TC00017,Brian Perez,2.43,1,0.0
CR00002,Java Programming,Programming,Intermediate,TC00019,Tommy Haynes,2.43,1,0.0
CR00002,Java Programming,Programming,Intermediate,TC00022,John Holmes,2.43,1,0.0
CR00002,Java Programming,Programming,Intermediate,TC00023,Robert Mack,2.43,3,0.0
